StartTime,PublishTime,Generation
2024-01-01 00:00:00,2023-12-31 23:00:00,2011.5
2024-01-01 00:00:00,2023-12-31 20:00:00,2043.0
2024-01-01 00:00:00,2023-12-31 12:00:00,2053.4
2024-01-01 00:00:00,2023-12-31 00:00:00,2153.6
2024-01-01 00:30:00,2023-12-31 23:30:00,2218.0
2024-01-01 00:30:00,2023-12-31 20:30:00,2243.3
2024-01-01 00:30:00,2023-12-31 12:30:00,2286.2
2024-01-01 00:30:00,2023-12-31 00:30:00,2392.3
2024-01-01 01:00:00,2024-01-01 00:00:00,2420.4
2024-01-01 01:00:00,2023-12-31 21:00:00,2435.1
2024-01-01 01:00:00,2023-12-31 13:00:00,2504.9
2024-01-01 01:00:00,2023-12-31 01:00:00,2598.5
2024-01-01 01:30:00,2024-01-01 00:30:00,2604.5
2024-01-01 01:30:00,2023-12-31 21:30:00,2606.8
2024-01-01 01:30:00,2023-12-31 13:30:00,2691.3
2024-01-01 01:30:00,2023-12-31 01:30:00,2756.6
2024-01-01 02:00:00,2024-01-01 01:00:00,2758.7
2024-01-01 02:00:00,2023-12-31 22:00:00,2750.0
2024-01-01 02:00:00,2023-12-31 14:00:00,2833.3
2024-01-01 02:00:00,2023-12-31 02:00:00,2861.8
2024-01-01 02:30:00,2024-01-01 01:30:00,2877.5
2024-01-01 02:30:00,2023-12-31 22:30:00,2861.7
2024-01-01 02:30:00,2023-12-31 14:30:00,2928.4
2024-01-01 02:30:00,2023-12-31 02:30:00,2920.5
2024-01-01 03:00:00,2024-01-01 02:00:00,2961.6
2024-01-01 03:00:00,2023-12-31 23:00:00,2944.4
2024-01-01 03:00:00,2023-12-31 15:00:00,2983.0
2024-01-01 03:00:00,2023-12-31 03:00:00,2947.9
2024-01-01 03:30:00,2024-01-01 02:30:00,3017.1
2024-01-01 03:30:00,2023-12-31 23:30:00,3004.6
2024-01-01 03:30:00,2023-12-31 15:30:00,3010.6
2024-01-01 03:30:00,2023-12-31 03:30:00,2964.2
2024-01-01 04:00:00,2024-01-01 03:00:00,3054.1
